Diseases,Symptoms
abscess,"pain (0.318), fever (0.119), swelling (0.112), redness (0.094), chills (0.092), infection (0.083), cyst (0.047), tenderness (0.037), rectal pain (0.026), lesion (0.025), lump (0.023), sore throat (0.021), facial swelling (0.016), pimple (0.016), discomfort (0.014), difficulty swallowing (0.013), cavity (0.013), night sweats (0.007), severe pain (0.007), abdominal pain (0.007), painful swallowing (0.007), back pain (0.006)"
acid reflux,"pain (0.225), nausea (0.140), pain in upper abdomen (0.064), abdominal pain (0.058), sadness (0.052), depression (0.052), vomiting (0.048), anxiety (0.045), diarrhea (0.044), discomfort (0.034), indigestion (0.030), chills (0.022), constipation (0.021), dizziness (0.021), heartburn (0.020), chest pressure (0.017), coughing (0.015), difficulty swallowing (0.014), tenderness (0.014), lightheadedness (0.013), shortness of breath (0.012), belching (0.012), racing heartbeat (0.011), chest discomfort (0.011), burning sensation (0.011), discomfort in upper abdomen (0.010), chest tightness (0.009), fatigue (0.009), cramping (0.009), lethargy (0.008), headache (0.006), sharp pain (0.006), lump (0.005), dry cough (0.005), abdominal discomfort (0.005), malnutrition (0.005), weight loss (0.005), bone loss (0.004)"
acute renal failure,"kidney failure (0.127), weakness (0.087), diarrhea (0.062), lethargy (0.058), low blood pressure (0.053), dehydration (0.048), vomiting (0.044), nausea (0.041), fatigue (0.033), confusion (0.029), mental confusion (0.022), dizziness (0.021), malaise (0.014), weight loss (0.012), urinary retention (0.010), shortness of breath (0.009), blood in urine (0.009)"
alcohol intoxication,"slurred speech (0.071), vomiting (0.064), unsteady gait (0.056), depression (0.034), sadness (0.034), confusion (0.029), falling (0.025), thoughts of suicide (0.019), wandering and getting lost (0.018), agitation (0.017), crying (0.015), screaming (0.015), seizures (0.013), fainting (0.013), bruising (0.010), substance abuse (0.007), tremor (0.005), rapid involuntary eye movement (0.005), difficulty walking (0.005), snoring (0.005), fast heart rate (0.004), problems with coordination (0.004), leaking of urine (0.002), hunger (0.002), low oxygen in the body (0.002), aggression (0.002)"
alcoholism,"seizures (0.125), depression (0.090), sadness (0.090), slurred speech (0.061), anxiety (0.048), unsteady gait (0.030), fast heart rate (0.028), tremor (0.027), thoughts of suicide (0.023), agitation (0.016), substance abuse (0.015), confusion (0.012), visual hallucinations (0.012), shakiness (0.011), falling (0.009), vomiting (0.008), headache (0.008), screaming (0.007), vomiting blood (0.006), hearing voices (0.005), rapid involuntary eye movement (0.004), delirium (0.004), sweating (0.004), leg pain (0.004), wandering and getting lost (0.004), mental confusion (0.004)"
alzheimer's disease,"confusion (0.071), mental confusion (0.057), fainting (0.028), lethargy (0.026), weakness (0.025), agitation (0.025), bruising (0.018), depression (0.014), sadness (0.014), leaking of urine (0.014), falling (0.013), seizures (0.010), hip pain (0.010), unsteady gait (0.009), aggression (0.007), sleepiness (0.007), leg pain (0.007), wandering and getting lost (0.007), failure to thrive (0.006), drooping of upper eyelid (0.006), memory loss (0.006), slow heart rate (0.006), malnutrition (0.005), coughing (0.005), weight loss (0.005), low blood pressure (0.005), abnormality walking (0.005)"
anaphylaxis,"swelling (0.154), shortness of breath (0.099), itching (0.084), wheezing (0.082), redness (0.076), skin rash (0.072), facial swelling (0.053), tongue swelling (0.048), difficulty breathing (0.044), swelling under the skin (0.044), difficulty swallowing (0.044), anxiety (0.036), noisy breathing (0.032), chest tightness (0.029), diarrhea (0.029), fainting (0.024), nausea (0.024), fast heart rate (0.020), seizures (0.020), difficulty speaking (0.016), abdominal pain (0.014), flushing (0.014), crying (0.014), respiratory distress (0.013), hoarseness (0.013), itchy eyes (0.013), low blood pressure (0.013), acute episodes (0.012), infection (0.011), fatigue (0.010), dry mouth (0.010), chest discomfort (0.010), flank pain (0.009), joint pain (0.008), malnutrition (0.008), impaired voice (0.008)"
anemia,"lethargy (0.096), weakness (0.087), fatigue (0.086), shortness of breath (0.052), dizziness (0.047), bleeding (0.046), lightheadedness (0.027), malnutrition (0.025), nausea (0.024), sadness (0.024), diarrhea (0.024), depression (0.024), fainting (0.020), low blood pressure (0.020), constipation (0.019), infection (0.017), abdominal pain (0.014), kidney failure (0.014), dehydration (0.013), vaginal bleeding (0.011), dark stool from digested blood (0.010), racing heartbeat (0.010)"
aneurysm,"headache (0.128), dizziness (0.047), pain (0.047), nausea (0.046), weakness (0.037), back pain (0.028), neck pain (0.020), vertigo (0.018), fainting (0.016), numbness (0.015), blurred vision (0.014), lightheadedness (0.014), severe headache (0.013), seizures (0.011), ache (0.011), drooping of upper eyelid (0.009)"
angina,"pain (0.352), shortness of breath (0.154), chest pressure (0.077), nausea (0.075), coughing (0.060), chest discomfort (0.041), racing heartbeat (0.039), chest tightness (0.035), dizziness (0.031), anxiety (0.029), lightheadedness (0.022), headache (0.021), discomfort (0.021), back pain (0.020), arm pain (0.020), cough with phlegm (0.015), numbness (0.014), chest pain worsened by breathing (0.014), fatigue (0.013), depression (0.012), fast heart rate (0.012), sadness (0.012), sharp pain (0.012), pain in upper abdomen (0.012), lethargy (0.011), indigestion (0.010), fainting (0.010), chills (0.009)"
